t,y,avg
432.0000000000,96.5673448278,96.1107151017
433.0000000000,93.6656674551,95.8205473644
434.0000000000,93.6656674551,95.2859169035
435.0000000000,93.6656674551,94.9957491662
436.0000000000,94.2329220851,94.8216710174
437.0000000000,89.8661675839,94.2696048800
438.0000000000,91.4588270569,93.8768046898
439.0000000000,92.5500183623,93.5344361688
440.0000000000,90.9221531123,93.3161780221
441.0000000000,90.9221531123,92.7516588506
442.0000000000,90.9221531123,92.1871396790
443.0000000000,89.3466697698,91.7552399105
444.0000000000,96.5673448278,92.0454076478
445.0000000000,91.4588270569,91.8247236080
446.0000000000,91.4588270569,91.5473141052
447.0000000000,87.8210800299,91.3428053497
448.0000000000,89.3466697698,91.1315896210
449.0000000000,90.3912979962,90.9157175844
450.0000000000,90.9221531123,90.9157175844
451.0000000000,88.3242132885,90.6559236021
452.0000000000,89.3466697698,90.4983752678
453.0000000000,91.4588270569,90.7095909965
454.0000000000,90.9221531123,90.1450718250
455.0000000000,95.9737035731,90.5965594766
456.0000000000,87.3232300872,90.1829997796
457.0000000000,91.4588270569,90.5467744823
458.0000000000,91.4588270569,90.7579902110
459.0000000000,92.0014160296,90.9190020144
460.0000000000,90.3912979962,90.8659165028
461.0000000000,90.3912979962,91.0726249735
462.0000000000,90.9221531123,91.2301733078
463.0000000000,93.1047345786,91.3947640599
464.0000000000,91.4588270569,91.4484314544
465.0000000000,92.5500183623,91.1060629333
466.0000000000,93.1047345786,91.6842133825
467.0000000000,96.5673448278,92.1950651595
468.0000000000,95.9737035731,92.6465528112
469.0000000000,95.9737035731,93.0437815655
470.0000000000,96.5673448278,93.6613862487
471.0000000000,92.5500183623,93.8772582853
472.0000000000,95.9737035731,94.3824133314
473.0000000000,92.5500183623,94.3269417097
474.0000000000,93.1047345786,94.4915324619
475.0000000000,95.9737035731,94.8339009830
476.0000000000,98.3900593132,95.3624334565
477.0000000000,90.9221531123,94.7979142849
478.0000000000,91.4588270569,94.3464266333
479.0000000000,91.4588270569,93.8949389817
480.0000000000,96.5673448278,93.8949389817
481.0000000000,95.9737035731,94.2373075027
482.0000000000,96.5673448278,94.2966716282
483.0000000000,92.5500183623,94.2966716282
484.0000000000,97.1678704295,94.7029852133
485.0000000000,93.1047345786,94.4160883138
486.0000000000,93.1047345786,93.8875558404
487.0000000000,89.3466697698,93.7300075061
488.0000000000,90.9221531123,93.6763401117
489.0000000000,91.4588270569,93.6763401117
490.0000000000,91.4588270569,93.1654883346
491.0000000000,91.4588270569,92.7140006830
492.0000000000,91.4588270569,92.2031489059
493.0000000000,86.8305806764,91.6312051373
494.0000000000,86.8305806764,90.5974761620
495.0000000000,84.9103919634,89.7780419005
496.0000000000,90.9221531123,89.5597837538
497.0000000000,84.9103919634,89.1161559732
498.0000000000,85.3830333363,88.5622439956
499.0000000000,87.3232300872,88.1486842986
500.0000000000,87.3232300872,87.7351246016
501.0000000000,86.8305806764,87.2722999636
502.0000000000,87.3232300872,86.8587402666
503.0000000000,87.8210800299,86.9577902020
504.0000000000,86.8305806764,86.9577902020
505.0000000000,86.8305806764,87.1498090733
506.0000000000,86.3430507338,86.6918988354
507.0000000000,85.8605608720,86.7869157263
508.0000000000,87.3232300872,86.9809354014
509.0000000000,88.8327144137,87.1318838340
510.0000000000,89.3466697698,87.3342278023
511.0000000000,87.8210800299,87.4332777376
512.0000000000,87.3232300872,87.4332777376
513.0000000000,84.9103919634,87.1422089310
514.0000000000,85.3830333363,86.9974541970
515.0000000000,85.3830333363,86.8526994630
516.0000000000,86.8305806764,86.9014524572
517.0000000000,86.8305806764,86.9984544377
518.0000000000,86.3430507338,86.9004365023
519.0000000000,89.3466697698,86.9518320379
520.0000000000,88.8327144137,86.9004365023
521.0000000000,86.3430507338,86.7526335727
522.0000000000,87.3232300872,86.7526335727
523.0000000000,90.9221531123,87.3538096876
524.0000000000,91.4588270569,87.9613890597
525.0000000000,86.3430507338,88.0573907994
526.0000000000,87.8210800299,88.1564407348
527.0000000000,88.3242132885,88.3058039960
528.0000000000,86.3430507338,88.3058039960
529.0000000000,90.3912979962,88.4102668186
530.0000000000,90.9221531123,88.6192106885
531.0000000000,89.3466697698,88.9195725921
532.0000000000,91.4588270569,89.3331322891
533.0000000000,90.3912979962,89.2800467775
534.0000000000,91.4588270569,89.2800467775
535.0000000000,91.4588270569,89.7916244098
536.0000000000,91.4588270569,90.1553991125
537.0000000000,92.5500183623,90.5779796198
538.0000000000,93.6656674551,91.3102412920
539.0000000000,90.3912979962,91.3102412920
540.0000000000,92.5500183623,91.4730278170
541.0000000000,93.1047345786,91.8488342978
542.0000000000,93.6656674551,92.0695183376
543.0000000000,93.6656674551,92.3969552835
544.0000000000,93.6656674551,92.6176393233
545.0000000000,88.8327144137,92.3550280590
546.0000000000,89.3466697698,92.1438123303
547.0000000000,89.3466697698,91.8234774711
548.0000000000,89.8661675839,91.4435274840
549.0000000000,88.3242132885,91.2368190132
550.0000000000,88.8327144137,90.8650886183
551.0000000000,92.0014160296,90.7547567634
552.0000000000,93.1047345786,90.6986634758
553.0000000000,93.1047345786,90.6425701881
554.0000000000,93.1047345786,90.5864769005
555.0000000000,93.1047345786,91.0136789170
556.0000000000,90.9221531123,91.1712272512
557.0000000000,90.9221531123,91.3287755855
558.0000000000,92.0014160296,91.5423004300
559.0000000000,91.4588270569,91.8557618069
560.0000000000,90.3912979962,92.0116201651
561.0000000000,92.5500183623,92.0664803984
562.0000000000,92.5500183623,92.0110087768
563.0000000000,90.9221531123,91.7927506301
564.0000000000,93.1047345786,91.7927506301
565.0000000000,93.1047345786,91.7927506301
566.0000000000,93.6656674551,92.0671020644
567.0000000000,96.5673448278,92.6316212360
568.0000000000,95.9737035731,93.0288499903
569.0000000000,97.7754008314,93.6605073678
570.0000000000,99.6412682713,94.5855043953
571.0000000000,95.9737035731,94.9278729164
572.0000000000,92.0014160296,94.8730126831
573.0000000000,92.5500183623,95.0357992081
574.0000000000,92.0014160296,94.9254673532
575.0000000000,93.1047345786,94.9254673532
576.0000000000,90.9221531123,94.6511159189
577.0000000000,92.5500183623,94.2493832724
578.0000000000,93.1047345786,93.9624863729
579.0000000000,93.1047345786,93.4954197476
580.0000000000,96.5673448278,93.1880274033
581.0000000000,98.3900593132,93.4296629773
582.0000000000,99.0119720645,94.1307185808
583.0000000000,97.7754008314,94.6532568277
584.0000000000,100.2780802051,95.4809232452
585.0000000000,98.3900593132,96.0094557187
586.0000000000,98.3900593132,96.7562463388
587.0000000000,93.1047345786,96.8117179604
588.0000000000,93.1047345786,96.8117179604
589.0000000000,95.9737035731,97.0986148599
590.0000000000,96.5673448278,97.0986148599
591.0000000000,93.6656674551,96.6261756741
592.0000000000,93.6656674551,96.0915452131
593.0000000000,95.3868289583,95.8526880258
594.0000000000,100.2780802051,95.8526880258
595.0000000000,97.1678704295,95.7304691374
596.0000000000,94.8066059443,95.3721238005
597.0000000000,92.5500183623,95.3166521789
598.0000000000,93.6656674551,95.3727454666
599.0000000000,93.6656674551,95.1419418548
600.0000000000,91.4588270569,94.6310900777
601.0000000000,90.9221531123,94.3567386434
602.0000000000,91.4588270569,94.1360546036
603.0000000000,91.4588270569,93.7432544134
604.0000000000,93.6656674551,93.0820131384
605.0000000000,90.9221531123,92.4574414067
606.0000000000,90.3912979962,92.0159106119
607.0000000000,92.5500183623,92.0159106119
608.0000000000,91.4588270569,91.7952265721
609.0000000000,92.5500183623,91.6836616628
610.0000000000,93.1047345786,91.8482524150
611.0000000000,93.6656674551,92.1226038493
612.0000000000,93.1047345786,92.2871946014
613.0000000000,90.9221531123,92.2335272070
614.0000000000,91.4588270569,92.0128431671
615.0000000000,91.4588270569,92.0665105616
616.0000000000,93.6656674551,92.3939475075
617.0000000000,88.8327144137,92.0222171126
618.0000000000,88.3242132885,91.7087557358
619.0000000000,89.8661675839,91.4403706580
620.0000000000,90.9221531123,91.2221125113
621.0000000000,93.1047345786,91.1660192237
622.0000000000,93.1047345786,91.1660192237
623.0000000000,93.6656674551,91.4403706580
624.0000000000,96.5673448278,91.9512224350
625.0000000000,97.1678704295,92.5221267723
626.0000000000,99.0119720645,93.0567572332
627.0000000000,96.5673448278,93.8302202747
628.0000000000,92.5500183623,94.2528007820
629.0000000000,93.1047345786,94.5766574815
630.0000000000,92.5500183623,94.7394440065
631.0000000000,93.1047345786,94.7394440065
632.0000000000,95.9737035731,95.0263409060
633.0000000000,93.1047345786,94.9702476183
634.0000000000,93.6656674551,94.6800798810
635.0000000000,93.6656674551,94.3298595836
636.0000000000,93.6656674551,93.7952291226
637.0000000000,91.4588270569,93.2843773456
638.0000000000,91.4588270569,93.1752582150
639.0000000000,90.9221531123,92.9570000684
640.0000000000,92.0014160296,92.9021398351
641.0000000000,92.0014160296,92.7918079802
642.0000000000,89.8661675839,92.1810543813
643.0000000000,90.9221531123,91.9627962347
644.0000000000,86.8305806764,91.2792875568
645.0000000000,86.3430507338,90.5470258847
646.0000000000,89.3466697698,90.1151261162
647.0000000000,89.3466697698,89.9039103875
648.0000000000,90.9221531123,89.8502429930
649.0000000000,91.4588270569,89.9039103875
650.0000000000,91.4588270569,89.8496514902
651.0000000000,88.8327144137,89.5327813286
652.0000000000,88.3242132885,89.3785858991
653.0000000000,89.3466697698,89.2210375648
654.0000000000,88.8327144137,89.4212509385
655.0000000000,88.8327144137,89.6702173065
656.0000000000,90.9221531123,89.8277656408
657.0000000000,90.9221531123,89.9853139750
658.0000000000,91.4588270569,90.0389813695
659.0000000000,91.4588270569,90.0389813695
660.0000000000,93.6656674551,90.2596654093
661.0000000000,93.1047345786,90.6868674258
662.0000000000,90.3912979962,90.8935758966
663.0000000000,94.8066059443,91.4395695140
