t,z
705.0,93.66566745505709
706.0,93.66566745505709
707.0,88.32421328852301
708.0,88.32421328852301
709.0,88.32421328852301
710.0,91.45882705691643
711.0,90.92215311230264
712.0,86.83058067641292
713.0,87.32323008722393
714.0,89.34666976983232
715.0,89.34666976983232
716.0,90.92215311230264
717.0,91.45882705691643
718.0,89.34666976983232
719.0,88.32421328852301
720.0,90.3912979962197
721.0,90.3912979962197
722.0,89.34666976983232
723.0,93.10473457855282
724.0,90.92215311230264
725.0,91.45882705691643
726.0,89.34666976983232
727.0,93.66566745505709
728.0,89.34666976983232
729.0,89.86616758391864
730.0,90.3912979962197
731.0,90.3912979962197
732.0,90.3912979962197
733.0,90.92215311230264
734.0,93.66566745505709
735.0,89.34666976983232
736.0,90.92215311230264
737.0,90.92215311230264
738.0,91.45882705691643
739.0,93.66566745505709
740.0,90.92215311230264
741.0,90.92215311230264
742.0,90.3912979962197
743.0,92.55001836231199
744.0,93.10473457855282
745.0,93.66566745505709
746.0,93.66566745505709
747.0,90.92215311230264
748.0,92.55001836231199
749.0,93.66566745505709
750.0,93.66566745505709
751.0,93.66566745505709
752.0,93.10473457855282
753.0,92.55001836231199
754.0,90.3912979962197
755.0,90.92215311230264
756.0,88.8327144137194
757.0,89.34666976983232
758.0,91.45882705691643
759.0,93.66566745505709
760.0,88.32421328852301
761.0,89.34666976983232
762.0,91.45882705691643
763.0,90.92215311230264
764.0,90.92215311230264
765.0,90.92215311230264
766.0,91.45882705691643
767.0,90.92215311230264
768.0,90.3912979962197
769.0,90.92215311230264
770.0,96.56734482779825
771.0,96.56734482779825
772.0,95.38682895832281
773.0,97.16787042949227
774.0,99.01197206452022
775.0,95.38682895832281
776.0,98.39005931319605
777.0,97.16787042949227
778.0,99.01197206452022
779.0,100.9225433161461
780.0,97.7754008313928
781.0,98.39005931319605
782.0,101.5747963289504
783.0,95.97370357313925
784.0,95.38682895832281
785.0,96.56734482779825
786.0,95.38682895832281
787.0,97.7754008313928
788.0,100.9225433161461
789.0,100.9225433161461
790.0,100.9225433161461
791.0,104.26460217515344
792.0,102.90324393162369
793.0,103.57973325749407
794.0,99.01197206452022
795.0,101.5747963289504
796.0,100.9225433161461
797.0,101.5747963289504
798.0,99.64126827127339
799.0,95.97370357313925
800.0,95.38682895832281
801.0,95.97370357313925
802.0,93.10473457855282
803.0,93.10473457855282
804.0,95.97370357313925
805.0,95.97370357313925
806.0,96.56734482779825
807.0,96.56734482779825
808.0,92.55001836231199
809.0,93.10473457855282
810.0,95.38682895832281
811.0,93.10473457855282
812.0,93.10473457855282
813.0,93.10473457855282
814.0,96.56734482779825
815.0,95.97370357313925
816.0,90.92215311230264
817.0,91.45882705691643
818.0,91.45882705691643
819.0,91.45882705691643
820.0,90.92215311230264
821.0,90.3912979962197
822.0,89.86616758391864
823.0,90.92215311230264
824.0,88.8327144137194
825.0,89.34666976983232
826.0,89.34666976983232
827.0,89.34666976983232
828.0,86.83058067641292
829.0,87.32323008722393
830.0,91.45882705691643
831.0,90.3912979962197
832.0,92.55001836231199
833.0,92.55001836231199
834.0,91.45882705691643
835.0,93.10473457855282
836.0,93.10473457855282
837.0,93.66566745505709
838.0,93.10473457855282
839.0,93.66566745505709
840.0,93.10473457855282
841.0,93.66566745505709
842.0,93.10473457855282
843.0,89.86616758391864
844.0,93.10473457855282
845.0,92.00141602962864
846.0,93.66566745505709
847.0,95.97370357313925
848.0,93.10473457855282
849.0,93.66566745505709
850.0,93.10473457855282
851.0,96.56734482779825
852.0,97.7754008313928
853.0,99.01197206452022
854.0,95.38682895832281
855.0,95.38682895832281
856.0,93.66566745505709
857.0,93.66566745505709
858.0,98.39005931319605
859.0,96.56734482779825
860.0,95.97370357313925
861.0,95.97370357313925
862.0,99.01197206452022
863.0,99.01197206452022
864.0,98.39005931319605
865.0,97.7754008313928
866.0,94.80660594432865
867.0,95.38682895832281
868.0,95.97370357313925
869.0,95.97370357313925
870.0,96.56734482779825
871.0,98.39005931319605
872.0,97.7754008313928
873.0,98.39005931319605
874.0,93.66566745505709
875.0,93.66566745505709
876.0,91.45882705691643
877.0,92.55001836231199
878.0,90.3912979962197
879.0,90.92215311230264
880.0,90.92215311230264
881.0,91.45882705691643
882.0,93.10473457855282
883.0,93.10473457855282
884.0,92.55001836231199
885.0,91.45882705691643
886.0,93.66566745505709
887.0,90.92215311230264
888.0,90.92215311230264
889.0,90.3912979962197
890.0,89.86616758391864
891.0,88.8327144137194
892.0,88.8327144137194
893.0,87.32323008722393
894.0,89.34666976983232
895.0,87.32323008722393
896.0,87.32323008722393
897.0,87.32323008722393
898.0,89.34666976983232
899.0,88.32421328852301
900.0,88.8327144137194
901.0,88.32421328852301
902.0,89.34666976983232
903.0,87.32323008722393
904.0,87.32323008722393
905.0,87.32323008722393
906.0,89.34666976983232
907.0,89.34666976983232
908.0,89.34666976983232
909.0,87.82108002988049
910.0,90.3912979962197
911.0,90.3912979962197
912.0,90.92215311230264
